dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.456452,3.534837,0.000200,0.019960,0.997991,49.899553,3.140306
0.020000,5.456737,3.534837,0.000485,0.014257,-0.285126,-64.155832,3.141257
0.020000,5.455993,3.534836,0.001229,0.037193,1.146790,71.595788,3.143159
0.020000,5.454456,3.534831,0.002767,0.076895,1.985102,41.915568,3.146016
0.020000,5.452408,3.534818,0.004815,0.102401,1.275272,-35.491471,3.149835
0.020000,5.449852,3.534791,0.007370,0.127797,1.269841,-0.271545,3.154622
0.020000,5.446791,3.534742,0.010432,0.153070,1.263649,-0.309613,3.160385
0.020000,5.443228,3.534664,0.013996,0.178202,1.256584,-0.353222,3.167134
0.020000,5.439166,3.534544,0.018060,0.203179,1.248859,-0.386273,3.174879
0.020000,5.434609,3.534372,0.022619,0.227999,1.240986,-0.393652,3.183631
0.020000,5.429562,3.534135,0.027673,0.252656,1.232858,-0.406423,3.193400
0.020000,5.424027,3.533818,0.033216,0.277172,1.225797,-0.353050,3.204196
0.020000,5.418010,3.533406,0.039247,0.301565,1.219631,-0.308272,3.216027
0.020000,5.411514,3.532879,0.045765,0.325860,1.214785,-0.242326,3.228900
0.020000,5.404543,3.532220,0.052767,0.350120,1.212988,-0.089837,3.242817
0.020000,5.397099,3.531408,0.060255,0.374397,1.213866,0.043898,3.257776
0.020000,5.389185,3.530420,0.068231,0.398784,1.219342,0.273798,3.273772
0.020000,5.380801,3.529233,0.076698,0.423370,1.229286,0.497237,3.290789
0.020000,5.371947,3.527820,0.085664,0.448287,1.245845,0.827944,3.308806
0.020000,5.362621,3.526155,0.095137,0.473672,1.269239,1.169664,3.327792
0.020000,5.352819,3.524207,0.105131,0.499683,1.300553,1.565735,3.347706
0.020000,5.342535,3.521944,0.115661,0.526506,1.341147,2.029690,3.368492
0.020000,5.331760,3.519334,0.126748,0.554332,1.391323,2.508798,3.390085
0.020000,5.320484,3.516338,0.138415,0.583371,1.451964,3.032056,3.412403
0.020000,5.308693,3.512917,0.150692,0.613836,1.523225,3.563018,3.435351
0.020000,5.296373,3.509031,0.163611,0.645942,1.605287,4.103105,3.458820
0.020000,5.283505,3.504635,0.177208,0.679890,1.697392,4.605253,3.482687
0.020000,5.270072,3.499682,0.191526,0.715871,1.799095,5.085165,3.506816
0.020000,5.256053,3.494124,0.206607,0.754053,1.909089,5.499715,3.531061
0.020000,5.241426,3.487910,0.222498,0.794571,2.025904,5.840706,3.555267
0.020000,5.226171,3.480992,0.239249,0.837524,2.147643,6.086960,3.579270
0.020000,5.210267,3.473316,0.256908,0.882974,2.272514,6.243545,3.602904
0.020000,5.193693,3.464834,0.275527,0.930944,2.398497,6.299160,3.626001
0.020000,5.176427,3.455497,0.295156,0.981419,2.523740,6.262159,3.648395
0.020000,5.158452,3.445258,0.315843,1.034352,2.646632,6.144603,3.669922
0.020000,5.139745,3.434077,0.337636,1.089670,2.765902,5.963506,3.690422
0.020000,5.120288,3.421914,0.360582,1.147284,2.880721,5.740923,3.709742
0.020000,5.100059,3.408737,0.384724,1.207098,2.990689,5.498399,3.727736
0.020000,5.079035,3.394520,0.410104,1.269017,3.095948,5.262974,3.744264
0.020000,5.057189,3.379240,0.436763,1.332959,3.197103,5.057762,3.759190
0.020000,5.034491,3.362885,0.464740,1.398862,3.295137,4.901702,3.772384
0.020000,5.010904,3.345445,0.494074,1.466692,3.391501,4.818180,3.783718
0.020000,4.986385,3.326922,0.524803,1.536452,3.487985,4.824224,3.793063
0.020000,4.960884,3.307322,0.556967,1.608181,3.586466,4.924025,3.800287
0.020000,4.934338,3.286660,0.590606,1.681966,3.689269,5.140154,3.805253
0.020000,4.906674,3.264960,0.625765,1.757939,3.798648,5.468955,3.807816
0.020000,4.877807,3.242257,0.662490,1.836278,3.916956,5.915410,3.807818
0.020000,4.847635,3.218594,0.700835,1.917208,4.046472,6.475799,3.805085
0.020000,4.816042,3.194028,0.740854,2.000992,4.189220,7.137393,3.799429
0.020000,4.782892,3.168635,0.782613,2.087926,4.346697,7.873857,3.790637
0.020000,4.748031,3.142505,0.826179,2.178318,4.519593,8.644781,3.778481
0.020000,4.711287,3.115756,0.871629,2.272460,4.707110,9.375860,3.762708
0.020000,4.672468,3.088535,0.919040,2.370588,4.906414,9.965184,3.743055
0.020000,4.631369,3.061026,0.968497,2.472813,5.111220,10.240315,3.719246
0.020000,4.597423,3.039038,1.008942,2.022267,-22.527302,-1381.926082,3.722733
0.020000,4.565137,3.017437,1.047788,1.942283,-3.999211,926.404517,3.739618
0.020000,4.532441,2.994765,1.087575,1.989354,2.353558,317.638465,3.756026
0.020000,4.499334,2.971007,1.128324,2.037481,2.406370,2.640612,3.771887
0.020000,4.465810,2.946151,1.170057,2.086649,2.458399,2.601426,3.787132
