dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.456838,3.834837,0.000200,0.019960,0.997991,49.899553,3.140306
0.020000,5.456838,3.834837,0.000998,0.059879,1.995982,49.899553,3.141257
0.020000,5.455524,3.834836,0.002595,0.099799,1.995982,0.000000,3.143159
0.020000,5.453129,3.834828,0.004990,0.139719,1.995982,0.000000,3.146016
0.020000,5.449935,3.834808,0.008184,0.179638,1.995982,0.000000,3.149835
0.020000,5.445943,3.834766,0.012175,0.219558,1.995982,-0.000000,3.154622
0.020000,5.441153,3.834690,0.016966,0.259478,1.995982,0.000000,3.160385
0.020000,5.435566,3.834566,0.022555,0.299397,1.995982,-0.000000,3.167134
0.020000,5.429182,3.834378,0.028942,0.339317,1.995982,0.000000,3.174879
0.020000,5.422001,3.834107,0.036127,0.379237,1.995982,0.000000,3.183631
0.020000,5.414026,3.833733,0.044111,0.419156,1.995982,-0.000000,3.193400
0.020000,5.405258,3.833231,0.052894,0.459076,1.995982,0.000000,3.204196
0.020000,5.395700,3.832575,0.062474,0.498996,1.995982,0.000000,3.216027
0.020000,5.385355,3.831736,0.072853,0.538915,1.995982,0.000000,3.228900
0.020000,5.374227,3.830684,0.084031,0.578835,1.995982,-0.000000,3.242817
0.020000,5.362322,3.829385,0.096007,0.618754,1.995982,0.000000,3.257776
0.020000,5.349646,3.827803,0.108781,0.658674,1.995982,-0.000000,3.273772
0.020000,5.336208,3.825900,0.122354,0.698594,1.995982,0.000000,3.290789
0.020000,5.322017,3.823636,0.136725,0.738513,1.995982,0.000000,3.308806
0.020000,5.307084,3.820969,0.151894,0.778433,1.995982,-0.000000,3.327792
0.020000,5.291422,3.817857,0.167862,0.818353,1.995982,0.000000,3.347706
0.020000,5.275048,3.814255,0.184628,0.858272,1.995982,0.000000,3.368492
0.020000,5.257977,3.810119,0.202193,0.898192,1.995982,-0.000000,3.390085
0.020000,5.240230,3.805404,0.220556,0.938112,1.995982,0.000000,3.412403
0.020000,5.221828,3.800066,0.239717,0.978031,1.995982,0.000000,3.435351
0.020000,5.202793,3.794062,0.259677,1.017951,1.995982,0.000000,3.458820
0.020000,5.183150,3.787352,0.280435,1.057871,1.995982,-0.000000,3.482687
0.020000,5.162925,3.779895,0.301992,1.097790,1.995982,0.000000,3.506816
0.020000,5.142144,3.771657,0.324347,1.137710,1.995982,-0.000000,3.531061
0.020000,5.120833,3.762606,0.347500,1.177629,1.995982,0.000000,3.555267
0.020000,5.099020,3.752713,0.371452,1.217549,1.995982,0.000000,3.579270
0.020000,5.076730,3.741957,0.396202,1.257469,1.995982,-0.000000,3.602904
0.020000,5.053987,3.730319,0.421751,1.297388,1.995982,0.000000,3.626001
0.020000,5.030812,3.717787,0.448098,1.337308,1.995982,0.000000,3.648395
0.020000,5.007224,3.704353,0.475243,1.377228,1.995982,0.000000,3.669922
0.020000,4.983239,3.690017,0.503187,1.417147,1.995982,0.000000,3.690422
0.020000,4.958866,3.674783,0.531929,1.457067,1.995982,0.000000,3.709742
0.020000,4.934114,3.658661,0.561470,1.496987,1.995982,-0.000000,3.727736
0.020000,4.908982,3.641667,0.591809,1.536906,1.995982,-0.000000,3.744264
0.020000,4.883466,3.623822,0.622946,1.576826,1.995982,0.000000,3.759190
0.020000,4.857555,3.605153,0.654882,1.616746,1.995982,0.000000,3.772384
0.020000,4.831234,3.585693,0.687616,1.656665,1.995982,0.000000,3.783718
0.020000,4.804478,3.565480,0.721148,1.696585,1.995982,-0.000000,3.793063
0.020000,4.777258,3.544559,0.755479,1.736504,1.995982,0.000000,3.800287
0.020000,4.749536,3.522983,0.790609,1.776424,1.995982,0.000000,3.805253
0.020000,4.721268,3.500809,0.826536,1.816344,1.995982,-0.000000,3.807816
0.020000,4.692400,3.478105,0.863262,1.856263,1.995982,0.000000,3.807818
0.020000,4.662873,3.454947,0.900787,1.896183,1.995982,0.000000,3.805085
0.020000,4.632620,3.431424,0.939110,1.936103,1.995982,0.000000,3.799429
0.020000,4.601564,3.407633,0.978231,1.976022,1.995982,0.000000,3.790637
0.020000,4.569622,3.383690,1.018150,2.015942,1.995982,0.000000,3.778481
0.020000,4.536704,3.359725,1.058869,2.055862,1.995982,0.000000,3.762708
0.020000,4.502714,3.335888,1.100385,2.095781,1.995982,0.000000,3.743055
0.020000,4.467551,3.312350,1.142700,2.135701,1.995982,0.000000,3.719246
0.020000,4.432729,3.289789,1.185813,2.175621,1.995982,0.000000,3.722733
0.020000,4.396233,3.265371,1.229725,2.215540,1.995982,0.000000,3.739618
0.020000,4.359493,3.239895,1.274435,2.255460,1.995982,0.000000,3.756026
0.020000,4.322519,3.213363,1.319943,2.295379,1.995982,0.000000,3.771887
0.020000,4.285322,3.185783,1.366250,2.335299,1.995982,0.000000,3.787132
0.020000,4.247905,3.157168,1.413355,2.375219,1.995982,0.000000,3.801692
0.020000,4.210271,3.127530,1.461259,2.415138,1.995982,0.000000,3.815502
0.020000,4.172417,3.096888,1.509960,2.455058,1.995982,0.000000,3.828497
0.020000,4.134337,3.065263,1.559461,2.494978,1.995982,0.000000,3.840615
0.020000,4.096020,3.032679,1.609760,2.534897,1.995982,0.000000,3.851795
0.020000,4.057450,2.999164,1.660857,2.574817,1.995982,0.000000,3.861978
0.020000,4.018608,2.964748,1.712752,2.614737,1.995982,0.000000,3.871107
0.020000,3.979470,2.929466,1.765446,2.654656,1.995982,0.000000,3.879123
0.020000,3.940006,2.893355,1.818939,2.694576,1.995982,-0.000000,3.885972
0.020000,3.900182,2.856455,1.873229,2.734496,1.995982,0.000000,3.891596
0.020000,3.859960,2.818812,1.928318,2.774415,1.995982,0.000000,3.895939
0.020000,3.819296,2.780474,1.984206,2.814335,1.995982,0.000000,3.898944
0.020000,3.778141,2.741493,2.040892,2.854254,1.995982,0.000000,3.900553
0.020000,3.736441,2.701926,2.098376,2.894174,1.995982,0.000000,3.900705
0.020000,3.694138,2.661834,2.156659,2.934094,1.995982,0.000000,3.899339
0.020000,3.651167,2.621287,2.215740,2.974013,1.995982,0.000000,3.896390
0.020000,3.607462,2.580355,2.275619,3.013933,1.995982,0.000000,3.891792
0.020000,3.562948,2.539120,2.336297,3.053853,1.995982,0.000000,3.885478
0.020000,3.517549,2.497669,2.397773,3.093772,1.995982,0.000000,3.877378
0.020000,3.471183,2.456095,2.460048,3.133692,1.995982,0.000000,3.867423
0.020000,3.423767,2.414504,2.523121,3.173612,1.995982,0.000000,3.855544
0.020000,3.375212,2.373008,2.586992,3.213531,1.995982,0.000000,3.841675
0.020000,3.325430,2.331730,2.651662,3.253451,1.995982,0.000000,3.825756
0.020000,3.274332,2.290804,2.717130,3.293370,1.995982,0.000000,3.807733
0.020000,3.224641,2.252441,2.783397,3.333290,1.995982,0.000000,3.794761
0.020000,3.171516,2.211508,2.850462,3.373210,1.995982,0.000000,3.801275
0.020000,3.118015,2.169758,2.918325,3.413129,1.995982,0.000000,3.807065
0.020000,3.064114,2.127225,2.986987,3.453049,1.995982,0.000000,3.812111
0.020000,3.009788,2.083943,3.056447,3.492969,1.995982,0.000000,3.816391
0.020000,2.955163,2.040075,3.126506,3.512929,0.997991,-49.899553,3.819874
0.020000,2.900596,1.995979,3.196663,3.502747,-0.509095,-75.354316,3.822529
0.020000,2.846442,1.952014,3.266417,3.472605,-1.507086,-49.899553,3.824346
0.020000,2.792893,1.908417,3.335470,3.432685,-1.995982,-24.444790,3.825339
0.020000,2.739988,1.865291,3.403724,3.392766,-1.995982,0.000000,3.825536
0.020000,2.687694,1.822681,3.471180,3.352846,-1.995982,0.000000,3.824963
0.020000,2.635979,1.780623,3.537838,3.312926,-1.995982,0.000000,3.823647
0.020000,2.584814,1.739155,3.603697,3.273007,-1.995982,0.000000,3.821613
0.020000,2.534172,1.698310,3.668758,3.233087,-1.995982,0.000000,3.818884
0.020000,2.484028,1.658120,3.733021,3.193167,-1.995982,0.000000,3.815484
0.020000,2.434360,1.618614,3.796485,3.153248,-1.995982,-0.000000,3.811433
0.020000,2.385146,1.579820,3.859151,3.113328,-1.995982,0.000000,3.806753
0.020000,2.336369,1.541762,3.921018,3.073408,-1.995982,0.000000,3.801464
0.020000,2.288012,1.504466,3.982087,3.033489,-1.995982,0.000000,3.795587
0.020000,2.240062,1.467951,4.042358,2.993569,-1.995982,0.000000,3.789141
0.020000,2.192506,1.432239,4.101830,2.953650,-1.995982,0.000000,3.782145
0.020000,2.145334,1.397348,4.160504,2.913730,-1.995982,-0.000000,3.774620
0.020000,2.098537,1.363295,4.218379,2.873810,-1.995982,0.000000,3.766584
0.020000,2.052109,1.330096,4.275456,2.833891,-1.995982,0.000000,3.758058
0.020000,2.006046,1.297763,4.331735,2.793971,-1.995982,0.000000,3.749062
0.020000,1.960344,1.266308,4.387215,2.754051,-1.995982,0.000000,3.739616
0.020000,1.915002,1.235744,4.441897,2.714132,-1.995982,-0.000000,3.729742
0.020000,1.870021,1.206077,4.495780,2.674212,-1.995982,0.000000,3.719462
0.020000,1.825403,1.177315,4.548865,2.634292,-1.995982,0.000000,3.708796
0.020000,1.781152,1.149465,4.601152,2.594373,-1.995982,0.000000,3.697769
0.020000,1.737271,1.122529,4.652640,2.554453,-1.995982,0.000000,3.686404
0.020000,1.693769,1.096511,4.703330,2.514533,-1.995982,0.000000,3.674725
0.020000,1.650651,1.071410,4.753221,2.474614,-1.995982,0.000000,3.662756
0.020000,1.607928,1.047227,4.802314,2.434694,-1.995982,0.000000,3.650524
0.020000,1.565610,1.023957,4.850609,2.394775,-1.995982,0.000000,3.638053
0.020000,1.523706,1.001598,4.898105,2.354855,-1.995982,0.000000,3.625370
0.020000,1.482229,0.980143,4.944803,2.314935,-1.995982,0.000000,3.612501
0.020000,1.441191,0.959584,4.990703,2.275016,-1.995982,-0.000000,3.599474
0.020000,1.400607,0.939913,5.035804,2.235096,-1.995982,0.000000,3.586316
0.020000,1.360488,0.921118,5.080107,2.195176,-1.995982,0.000000,3.573052
0.020000,1.320851,0.903188,5.123611,2.155257,-1.995982,0.000000,3.559712
0.020000,1.281710,0.886108,5.166317,2.115337,-1.995982,0.000000,3.546320
0.020000,1.243079,0.869865,5.208224,2.075417,-1.995982,0.000000,3.532904
0.020000,1.204973,0.854440,5.249334,2.035498,-1.995982,-0.000000,3.519489
0.020000,1.167409,0.839817,5.289644,1.995578,-1.995982,-0.000000,3.506101
0.020000,1.130400,0.825977,5.329157,1.955658,-1.995982,0.000000,3.492764
0.020000,1.093961,0.812901,5.367871,1.915739,-1.995982,0.000000,3.479503
0.020000,1.058108,0.800567,5.405786,1.875819,-1.995982,0.000000,3.466338
0.020000,1.022855,0.788953,5.442903,1.835900,-1.995982,-0.000000,3.453293
0.020000,0.988216,0.778038,5.479222,1.795980,-1.995982,0.000000,3.440388
0.020000,0.954204,0.767798,5.514743,1.756060,-1.995982,0.000000,3.427643
0.020000,0.920832,0.758210,5.549465,1.716141,-1.995982,-0.000000,3.415075
0.020000,0.888113,0.749250,5.583388,1.676221,-1.995982,0.000000,3.402702
0.020000,0.856060,0.740893,5.616514,1.636301,-1.995982,0.000000,3.390539
0.020000,0.824683,0.733115,5.648840,1.596382,-1.995982,0.000000,3.378601
0.020000,0.793993,0.725892,5.680369,1.556462,-1.995982,0.000000,3.366901
0.020000,0.764001,0.719198,5.711099,1.516542,-1.995982,-0.000000,3.355452
0.020000,0.734716,0.713009,5.741030,1.476623,-1.995982,0.000000,3.344263
0.020000,0.706148,0.707301,5.770164,1.436703,-1.995982,0.000000,3.333344
0.020000,0.678304,0.702049,5.798499,1.396783,-1.995982,0.000000,3.322704
0.020000,0.651193,0.697229,5.826035,1.356864,-1.995982,-0.000000,3.312350
0.020000,0.624821,0.692818,5.852773,1.316944,-1.995982,0.000000,3.302288
0.020000,0.599196,0.688793,5.878713,1.277025,-1.995982,-0.000000,3.292525
0.020000,0.574323,0.685130,5.903854,1.237105,-1.995982,0.000000,3.283063
0.020000,0.550208,0.681808,5.928197,1.197185,-1.995982,0.000000,3.273907
0.020000,0.526856,0.678806,5.951742,1.157266,-1.995982,0.000000,3.265060
0.020000,0.504271,0.676101,5.974488,1.117346,-1.995982,0.000000,3.256524
0.020000,0.482458,0.673673,5.996435,1.077426,-1.995982,-0.000000,3.248301
0.020000,0.461420,0.671504,6.017585,1.037507,-1.995982,0.000000,3.240391
0.020000,0.441161,0.669574,6.037936,0.997587,-1.995982,0.000000,3.232795
0.020000,0.421684,0.667864,6.057488,0.957667,-1.995982,-0.000000,3.225513
0.020000,0.402990,0.666357,6.076242,0.917748,-1.995982,0.000000,3.218544
0.020000,0.385083,0.665036,6.094198,0.877828,-1.995982,-0.000000,3.211889
0.020000,0.367964,0.663886,6.111356,0.837909,-1.995982,0.000000,3.205545
0.020000,0.351636,0.662889,6.127714,0.797989,-1.995982,-0.000000,3.199513
0.020000,0.336099,0.662033,6.143275,0.758069,-1.995982,0.000000,3.193789
0.020000,0.321355,0.661303,6.158037,0.718150,-1.995982,0.000000,3.188374
0.020000,0.307405,0.660685,6.172001,0.678230,-1.995982,-0.000000,3.183265
0.020000,0.294250,0.660169,6.185166,0.638310,-1.995982,0.000000,3.178460
0.020000,0.281890,0.659741,6.197533,0.598391,-1.995982,-0.000000,3.173958
0.020000,0.270327,0.659391,6.209102,0.558471,-1.995982,-0.000000,3.169757
0.020000,0.259560,0.659108,6.219872,0.518551,-1.995982,0.000000,3.165855
0.020000,0.249591,0.658884,6.229844,0.478632,-1.995982,-0.000000,3.162250
0.020000,0.240419,0.658710,6.239018,0.438712,-1.995982,0.000000,3.158941
0.020000,0.232045,0.658577,6.247393,0.398792,-1.995982,-0.000000,3.155926
0.020000,0.224469,0.658479,6.254969,0.358873,-1.995982,0.000000,3.153203
0.020000,0.217691,0.658409,6.261748,0.318953,-1.995982,-0.000000,3.150771
0.020000,0.211711,0.658360,6.267727,0.279034,-1.995982,0.000000,3.148629
0.020000,0.206530,0.658328,6.272909,0.239114,-1.995982,0.000000,3.146775
0.020000,0.202147,0.658309,6.277292,0.199194,-1.995982,-0.000000,3.145209
0.020000,0.198562,0.658299,6.280877,0.159275,-1.995982,0.000000,3.143930
0.020000,0.195776,0.658293,6.283663,0.119355,-1.995982,0.000000,3.142936
0.020000,0.193788,0.658291,6.285651,0.079435,-1.995982,0.000000,3.142227
0.020000,0.192599,0.658291,6.286840,0.039516,-1.995982,-0.000000,3.141803
