dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.457224,4.134836,0.000200,0.019960,0.997991,49.899553,3.140306
0.020000,5.456939,4.134837,0.000485,0.014257,-0.285126,-64.155832,3.141257
0.020000,5.455054,4.134835,0.002370,0.094255,3.999892,214.250896,3.143159
0.020000,5.451801,4.134825,0.005622,0.162626,3.418531,-29.068091,3.146016
0.020000,5.447462,4.134798,0.009962,0.216964,2.716904,-35.081308,3.149835
0.020000,5.442035,4.134740,0.015390,0.271399,2.721745,0.242011,3.154622
0.020000,5.435516,4.134637,0.021909,0.325963,2.728195,0.322518,3.160385
0.020000,5.427905,4.134468,0.029522,0.380671,2.735405,0.360480,3.167134
0.020000,5.419198,4.134212,0.038233,0.435531,2.743036,0.381590,3.174879
0.020000,5.409394,4.133842,0.048044,0.490556,2.751214,0.408891,3.183631
0.020000,5.398491,4.133330,0.058959,0.545726,2.758516,0.365074,3.193400
0.020000,5.386490,4.132643,0.070980,0.601053,2.766366,0.392539,3.204196
0.020000,5.373390,4.131744,0.084110,0.656508,2.772718,0.317584,3.216027
0.020000,5.359196,4.130594,0.098351,0.712038,2.776513,0.189748,3.228900
0.020000,5.343912,4.129149,0.113703,0.767623,2.779270,0.137855,3.242817
0.020000,5.327545,4.127363,0.130167,0.823176,2.777628,-0.082130,3.257776
0.020000,5.310108,4.125186,0.147739,0.878636,2.772983,-0.232224,3.273772
0.020000,5.291615,4.122567,0.166417,0.933876,2.762003,-0.549000,3.290789
0.020000,5.272086,4.119451,0.186193,0.988800,2.746201,-0.790122,3.308806
0.020000,5.251546,4.115784,0.207058,1.043255,2.722788,-1.170635,3.327792
0.020000,5.230025,4.111507,0.228999,1.097075,2.690964,-1.591198,3.347706
0.020000,5.207560,4.106566,0.252001,1.150090,2.650765,-2.009970,3.368492
0.020000,5.184195,4.100904,0.276043,1.202097,2.600345,-2.520973,3.390085
0.020000,5.159977,4.094470,0.301101,1.252893,2.539785,-3.027988,3.412403
0.020000,5.134963,4.087215,0.327146,1.302261,2.468433,-3.567614,3.435351
0.020000,5.109213,4.079094,0.354146,1.349996,2.386733,-4.084987,3.458820
0.020000,5.082794,4.070068,0.382064,1.395882,2.294310,-4.621164,3.482687
0.020000,5.055777,4.060108,0.410858,1.439736,2.192679,-5.081551,3.506816
0.020000,5.028234,4.049190,0.440486,1.481390,2.082731,-5.497416,3.531061
0.020000,5.000240,4.037301,0.470900,1.520712,1.966065,-5.833303,3.555267
0.020000,4.971869,4.024435,0.502052,1.557596,1.844234,-6.091558,3.579270
0.020000,4.943193,4.010598,0.533892,1.591985,1.719438,-6.239779,3.602904
0.020000,4.914281,3.995804,0.566369,1.623855,1.593517,-6.296049,3.626001
0.020000,4.885197,3.980077,0.599434,1.653222,1.468320,-6.259850,3.648395
0.020000,4.855997,3.963449,0.633036,1.680131,1.345469,-6.142554,3.669922
0.020000,4.826732,3.945958,0.667129,1.704656,1.226231,-5.961871,3.690422
0.020000,4.797445,3.927653,0.701667,1.726885,1.111472,-5.737986,3.709742
0.020000,4.768168,3.908585,0.736605,1.746916,1.001514,-5.497890,3.727736
0.020000,4.738928,3.888814,0.771902,1.764841,0.896274,-5.261975,3.744264
0.020000,4.709742,3.868404,0.807517,1.780744,0.795171,-5.055164,3.759190
0.020000,4.680620,3.847421,0.843411,1.794687,0.697107,-4.903215,3.772384
0.020000,4.651564,3.825940,0.879545,1.806701,0.600712,-4.819737,3.783718
0.020000,4.622572,3.804038,0.915881,1.816787,0.504299,-4.820673,3.793063
0.020000,4.593633,3.781797,0.952379,1.824901,0.405706,-4.929614,3.800287
0.020000,4.564735,3.759305,0.988998,1.830959,0.302892,-5.140710,3.805253
0.020000,4.535861,3.736657,1.025694,1.834828,0.193459,-5.471681,3.807816
0.020000,4.506993,3.713953,1.062421,1.836329,0.075057,-5.920062,3.807818
0.020000,4.478112,3.691301,1.099126,1.835238,-0.054571,-6.481402,3.805085
0.020000,4.449198,3.668819,1.135751,1.831289,-0.197445,-7.143711,3.799429
0.020000,4.420236,3.646632,1.172235,1.824186,-0.355117,-7.883622,3.790637
0.020000,4.391213,3.624875,1.208508,1.813622,-0.528223,-8.655290,3.778481
0.020000,4.362121,3.603694,1.244494,1.799301,-0.716060,-9.391828,3.762708
0.020000,4.332959,3.583240,1.280113,1.780988,-0.915639,-9.978942,3.743055
0.020000,4.303733,3.563674,1.315285,1.758569,-1.120954,-10.265764,3.719246
0.020000,4.268036,3.540540,1.357822,2.126866,18.414875,976.791431,3.722733
0.020000,4.227330,3.513306,1.406799,2.448825,16.097929,-115.847305,3.739618
