dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.589326,3.399525,0.000200,0.019959,0.997952,49.897613,6.282353
0.020000,0.589284,3.399525,0.000241,0.002084,-0.893774,-94.586288,6.282492
0.020000,0.589201,3.399525,0.000325,0.004165,0.104092,49.893263,6.282769
0.020000,0.589077,3.399525,0.000449,0.006197,0.101571,-0.126013,0.000000
0.020000,0.592104,3.399526,0.003476,0.151359,7.258087,357.825785,0.000555
0.020000,0.595888,3.399529,0.007260,0.189206,1.892383,-268.285208,0.001247
0.020000,0.600429,3.399537,0.011801,0.227065,1.892935,0.027592,0.002077
0.020000,0.605728,3.399550,0.017100,0.264934,1.893453,0.025896,0.003043
0.020000,0.611784,3.399572,0.023156,0.302813,1.893942,0.024448,0.004145
0.020000,0.618598,3.399605,0.029970,0.340708,1.894760,0.040887,0.005382
0.020000,0.626171,3.399651,0.037543,0.378615,1.895364,0.030239,0.006753
0.020000,0.634501,3.399713,0.045873,0.416543,1.896369,0.050242,0.008257
0.020000,0.643591,3.399796,0.054963,0.454485,1.897111,0.037081,0.009892
0.020000,0.653439,3.399902,0.064812,0.492449,1.898181,0.053510,0.011658
0.020000,0.664047,3.400035,0.075421,0.530433,1.899238,0.052860,0.013552
0.020000,0.675414,3.400201,0.086790,0.568446,1.900638,0.070006,0.015574
0.020000,0.687542,3.400403,0.098919,0.606481,1.901734,0.054802,0.017721
0.020000,0.700431,3.400646,0.111810,0.644547,1.903320,0.079295,0.019992
0.020000,0.714081,3.400935,0.125463,0.682640,1.904658,0.066887,0.022384
0.020000,0.728492,3.401276,0.139878,0.720767,1.906336,0.083919,0.024896
0.020000,0.743665,3.401674,0.155057,0.758928,1.908024,0.084392,0.027525
0.020000,0.759601,3.402135,0.170999,0.797124,1.909828,0.090207,0.030269
0.020000,0.776300,3.402664,0.187707,0.835364,1.911974,0.107279,0.033124
0.020000,0.793762,3.403269,0.205179,0.873639,1.913759,0.089273,0.036089
0.020000,0.811989,3.403955,0.223419,0.911959,1.915999,0.111961,0.039161
0.020000,0.830979,3.404729,0.242425,0.950326,1.918349,0.117501,0.042336
0.020000,0.850735,3.405598,0.262200,0.988740,1.920734,0.119258,0.045611
0.020000,0.871256,3.406570,0.282744,1.027204,1.923171,0.121841,0.048984
