dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.589076,3.099525,0.000200,0.019959,0.997952,49.897613,6.282353
0.020000,0.589076,3.099525,0.000998,0.059877,1.995905,49.897613,6.282492
0.020000,0.589076,3.099525,0.002595,0.099795,1.995905,-0.000000,6.282769
0.020000,0.589077,3.099525,0.004990,0.139713,1.995905,0.000000,0.000000
0.020000,0.592270,3.099526,0.008183,0.179631,1.995905,-0.000000,0.000555
0.020000,0.596262,3.099530,0.012175,0.219549,1.995905,0.000000,0.001247
0.020000,0.601052,3.099538,0.016965,0.259468,1.995905,-0.000000,0.002077
0.020000,0.606641,3.099552,0.022554,0.299386,1.995905,0.000000,0.003043
0.020000,0.613028,3.099575,0.028941,0.339304,1.995905,-0.000000,0.004145
0.020000,0.620213,3.099609,0.036126,0.379222,1.995905,0.000000,0.005382
0.020000,0.628196,3.099657,0.044109,0.419140,1.995905,0.000000,0.006753
0.020000,0.636978,3.099723,0.052891,0.459058,1.995905,0.000000,0.008257
0.020000,0.646558,3.099810,0.062472,0.498976,1.995905,0.000000,0.009892
0.020000,0.656936,3.099922,0.072851,0.538894,1.995905,-0.000000,0.011658
0.020000,0.668112,3.100063,0.084028,0.578812,1.995905,0.000000,0.013552
0.020000,0.680086,3.100237,0.096003,0.618730,1.995905,-0.000000,0.015574
0.020000,0.692858,3.100450,0.108777,0.658648,1.995905,0.000000,0.017721
0.020000,0.706428,3.100706,0.122349,0.698567,1.995905,0.000000,0.019992
0.020000,0.720796,3.101010,0.136719,0.738485,1.995905,-0.000000,0.022384
0.020000,0.735960,3.101369,0.151888,0.778403,1.995905,0.000000,0.024896
0.020000,0.751922,3.101788,0.167856,0.818321,1.995905,0.000000,0.027525
0.020000,0.768680,3.102272,0.184621,0.858239,1.995905,0.000000,0.030269
0.020000,0.786236,3.102829,0.202185,0.898157,1.995905,-0.000000,0.033124
0.020000,0.804587,3.103464,0.220547,0.938075,1.995905,0.000000,0.036089
0.020000,0.823734,3.104185,0.239708,0.977993,1.995905,-0.000000,0.039161
0.020000,0.843676,3.104998,0.259667,1.017911,1.995905,0.000000,0.042336
0.020000,0.864414,3.105910,0.280425,1.057829,1.995905,0.000000,0.045611
0.020000,0.885945,3.106930,0.301980,1.097747,1.995905,0.000000,0.048984
0.020000,0.908271,3.108063,0.324334,1.137666,1.995905,-0.000000,0.052449
0.020000,0.931389,3.109318,0.347487,1.177584,1.995905,0.000000,0.056005
0.020000,0.955300,3.110702,0.371438,1.217502,1.995905,0.000000,0.059646
0.020000,0.980002,3.112224,0.396187,1.257420,1.995905,0.000000,0.063369
0.020000,1.005496,3.113890,0.421735,1.297338,1.995905,-0.000000,0.067169
0.020000,1.031779,3.115709,0.448081,1.337256,1.995905,0.000000,0.071043
0.020000,1.058851,3.117690,0.475225,1.377174,1.995905,-0.000000,0.074986
0.020000,1.086710,3.119839,0.503168,1.417092,1.995905,0.000000,0.078992
0.020000,1.115357,3.122165,0.531909,1.457010,1.995905,0.000000,0.083058
0.020000,1.144790,3.124677,0.561448,1.496928,1.995905,0.000000,0.087178
0.020000,1.175007,3.127381,0.591786,1.536846,1.995905,0.000000,0.091346
0.020000,1.206007,3.130287,0.622922,1.576765,1.995905,-0.000000,0.095559
0.020000,1.237789,3.133402,0.654856,1.616683,1.995905,0.000000,0.099809
0.020000,1.270352,3.136733,0.687589,1.656601,1.995905,-0.000000,0.104091
0.020000,1.303694,3.140289,0.721120,1.696519,1.995905,0.000000,0.108399
0.020000,1.337814,3.144077,0.755450,1.736437,1.995905,0.000000,0.112728
0.020000,1.372710,3.148105,0.790578,1.776355,1.995905,-0.000000,0.117071
0.020000,1.408381,3.152379,0.826504,1.816273,1.995905,0.000000,0.121422
0.020000,1.444825,3.156907,0.863229,1.856191,1.995905,-0.000000,0.125774
0.020000,1.482042,3.161695,0.900752,1.896109,1.995905,0.000000,0.130121
0.020000,1.520028,3.166750,0.939073,1.936027,1.995905,0.000000,0.134455
0.020000,1.558783,3.172078,0.978193,1.975945,1.995905,-0.000000,0.138771
