dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.588826,2.799525,0.000200,0.019959,0.997952,49.897613,6.282353
0.020000,0.588868,2.799525,0.000241,0.002084,-0.893774,-94.586288,6.282492
0.020000,0.588951,2.799525,0.000325,0.004165,0.104092,49.893263,6.282769
0.020000,0.589077,2.799525,0.000450,0.006291,0.106264,0.108603,0.000000
0.020000,0.592437,2.799526,0.003810,0.167993,8.085137,398.943635,0.000555
0.020000,0.596636,2.799530,0.008010,0.209975,2.099083,-299.302689,0.001247
0.020000,0.601675,2.799538,0.013049,0.251952,2.098838,-0.012243,0.002077
0.020000,0.607554,2.799553,0.018927,0.293919,2.098380,-0.022909,0.003043
0.020000,0.614271,2.799577,0.025645,0.335874,2.097712,-0.033406,0.004145
0.020000,0.621827,2.799613,0.033201,0.377818,2.097228,-0.024193,0.005382
0.020000,0.630222,2.799664,0.041596,0.419745,2.096324,-0.045166,0.006753
0.020000,0.639455,2.799734,0.050829,0.461658,2.095678,-0.032310,0.008257
0.020000,0.649526,2.799825,0.060900,0.503549,2.094550,-0.056392,0.009892
0.020000,0.660433,2.799943,0.071808,0.545421,2.093593,-0.047861,0.011658
0.020000,0.672178,2.800091,0.083554,0.587270,2.092424,-0.058456,0.013552
0.020000,0.684759,2.800274,0.096136,0.629098,2.091433,-0.049555,0.015574
0.020000,0.698175,2.800497,0.109554,0.670896,2.089899,-0.076679,0.017721
0.020000,0.712425,2.800766,0.123807,0.712670,2.088697,-0.060093,0.019992
0.020000,0.727510,2.801086,0.138895,0.754410,2.087006,-0.084558,0.022384
0.020000,0.743428,2.801462,0.154818,0.796120,2.085472,-0.076697,0.024896
0.020000,0.760178,2.801901,0.171574,0.837794,2.083725,-0.087377,0.027525
0.020000,0.777760,2.802409,0.189162,0.879432,2.081877,-0.092385,0.030269
0.020000,0.796171,2.802993,0.207583,0.921035,2.080173,-0.085215,0.033124
0.020000,0.815411,2.803659,0.226835,0.962592,2.077834,-0.116951,0.036089
0.020000,0.835479,2.804415,0.246917,1.004107,2.075753,-0.104025,0.039161
0.020000,0.856374,2.805267,0.267829,1.045578,2.073549,-0.110235,0.042336
0.020000,0.878093,2.806222,0.289569,1.087001,2.071133,-0.120802,0.045611
0.020000,0.900635,2.807289,0.312136,1.128371,2.068520,-0.130630,0.048984
0.020000,0.923998,2.808475,0.335530,1.169690,2.065946,-0.128722,0.052449
