dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.089272,0.972997,0.000198,0.019816,0.990796,49.539811,6.282494
0.020000,0.089219,0.972997,0.000251,0.002622,-0.859674,-92.523531,6.282669
0.020000,0.089114,0.972997,0.000355,0.005243,0.131042,49.535814,6.283018
0.020000,0.090578,0.972997,0.001819,0.073199,3.397792,163.337522,0.000357
0.020000,0.093539,0.972999,0.004780,0.148052,3.742638,17.242260,0.001056
0.020000,0.097241,0.973005,0.008482,0.185074,1.851127,-94.575509,0.001928
0.020000,0.101683,0.973016,0.012924,0.222101,1.851349,0.011078,0.002974
0.020000,0.106866,0.973034,0.018107,0.259143,1.852072,0.036129,0.004193
0.020000,0.112789,0.973063,0.024031,0.296188,1.852246,0.008744,0.005584
0.020000,0.119454,0.973106,0.030695,0.333244,1.852806,0.027969,0.007147
0.020000,0.126860,0.973165,0.038102,0.370314,1.853487,0.034053,0.008880
0.020000,0.135008,0.973245,0.046250,0.407398,1.854237,0.037533,0.010784
0.020000,0.143897,0.973350,0.055140,0.444498,1.854964,0.036326,0.012856
0.020000,0.153528,0.973485,0.064772,0.481613,1.855767,0.040130,0.015096
0.020000,0.163902,0.973654,0.075147,0.518748,1.856733,0.048332,0.017502
0.020000,0.175018,0.973863,0.086265,0.555908,1.857997,0.063200,0.020074
0.020000,0.186877,0.974117,0.098127,0.593086,1.858911,0.045670,0.022809
0.020000,0.199479,0.974423,0.110733,0.630290,1.860225,0.065740,0.025706
0.020000,0.212825,0.974787,0.124083,0.667521,1.861538,0.065647,0.028762
0.020000,0.226914,0.975215,0.138179,0.704785,1.863218,0.083987,0.031977
0.020000,0.241747,0.975714,0.153020,0.742077,1.864571,0.067660,0.035348
0.020000,0.257324,0.976293,0.168608,0.779406,1.866458,0.094315,0.038872
0.020000,0.273646,0.976957,0.184944,0.816772,1.868279,0.091067,0.042547
0.020000,0.290713,0.977717,0.202027,0.854173,1.870090,0.090529,0.046371
0.020000,0.308524,0.978579,0.219860,0.891624,1.872541,0.122557,0.050340
0.020000,0.327081,0.979552,0.238442,0.929115,1.874562,0.101085,0.054452
0.020000,0.346383,0.980645,0.257775,0.966656,1.877010,0.122360,0.058703
0.020000,0.366431,0.981868,0.277860,1.004251,1.879761,0.137571,0.063091
0.020000,0.387225,0.983228,0.298698,1.041896,1.882265,0.125204,0.067610
0.020000,0.408764,0.984737,0.320290,1.079602,1.885281,0.150814,0.072258
0.020000,0.431049,0.986404,0.342638,1.117369,1.888355,0.153681,0.077031
0.020000,0.454080,0.988238,0.365741,1.155199,1.891481,0.156299,0.081923
0.020000,0.477857,0.990251,0.389604,1.193102,1.895150,0.183461,0.086931
0.020000,0.502380,0.992451,0.414225,1.231072,1.898546,0.169775,0.092050
0.020000,0.527649,0.994850,0.439607,1.269119,1.902334,0.189399,0.097274
0.020000,0.553663,0.997459,0.465752,1.307249,1.906474,0.207015,0.102598
0.020000,0.580423,1.000288,0.492661,1.345457,1.910414,0.197008,0.108017
0.020000,0.607929,1.003347,0.520337,1.383755,1.914886,0.223600,0.113525
0.020000,0.636179,1.006648,0.548779,1.422143,1.919425,0.226948,0.119116
0.020000,0.665175,1.010202,0.577992,1.460624,1.924062,0.231825,0.124784
0.020000,0.694915,1.014020,0.607976,1.499206,1.929064,0.250117,0.130522
0.020000,0.725399,1.018111,0.638734,1.537887,1.934093,0.251436,0.136323
0.020000,0.756628,1.022489,0.670267,1.576675,1.939387,0.264724,0.142180
0.020000,0.788599,1.027162,0.702579,1.615572,1.944858,0.273553,0.148086
0.020000,0.821314,1.032142,0.735670,1.654582,1.950500,0.282078,0.154034
0.020000,0.854771,1.037440,0.769545,1.693709,1.956325,0.291253,0.160016
0.020000,0.888971,1.043065,0.804204,1.732954,1.962281,0.297814,0.166023
0.020000,0.923912,1.049029,0.839650,1.772324,1.968475,0.309672,0.172048
0.020000,0.959595,1.055340,0.875886,1.811818,1.974716,0.312079,0.178081
0.020000,0.996018,1.062010,0.912915,1.851443,1.981214,0.324886,0.184116
0.020000,1.033181,1.069047,0.950739,1.891199,1.987821,0.330380,0.190142
0.020000,1.071085,1.076461,0.989361,1.931090,1.994542,0.336049,0.196151
0.020000,1.109728,1.084260,1.028783,1.971119,2.001440,0.344901,0.202133
0.020000,1.149111,1.092454,1.069009,2.011287,2.008423,0.349137,0.208079
0.020000,1.189232,1.101049,1.110041,2.051598,2.015545,0.356096,0.213981
