dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.089064,0.672997,0.000198,0.019816,0.990796,49.539811,6.282494
0.020000,0.089064,0.672997,0.000991,0.059448,1.981592,49.539811,6.282669
0.020000,0.089064,0.672997,0.002576,0.099080,1.981592,0.000000,6.283018
0.020000,0.090685,0.672997,0.004954,0.138711,1.981592,0.000000,0.000357
0.020000,0.093856,0.673000,0.008125,0.178343,1.981592,-0.000000,0.001056
0.020000,0.097819,0.673006,0.012088,0.217975,1.981592,0.000000,0.001928
0.020000,0.102575,0.673017,0.016844,0.257607,1.981592,-0.000000,0.002974
0.020000,0.108123,0.673037,0.022392,0.297239,1.981592,0.000000,0.004193
0.020000,0.114464,0.673068,0.028733,0.336871,1.981592,-0.000000,0.005584
0.020000,0.121598,0.673113,0.035867,0.376503,1.981592,-0.000000,0.007147
0.020000,0.129524,0.673177,0.043793,0.416134,1.981592,0.000000,0.008880
0.020000,0.138243,0.673263,0.052512,0.455766,1.981592,-0.000000,0.010784
0.020000,0.147754,0.673375,0.062024,0.495398,1.981592,0.000000,0.012856
0.020000,0.158057,0.673519,0.072328,0.535030,1.981592,-0.000000,0.015096
0.020000,0.169152,0.673700,0.083425,0.574662,1.981592,0.000000,0.017502
0.020000,0.181040,0.673923,0.095315,0.614294,1.981592,0.000000,0.020074
0.020000,0.193719,0.674195,0.107997,0.653926,1.981592,0.000000,0.022809
0.020000,0.207190,0.674522,0.121472,0.693557,1.981592,0.000000,0.025706
0.020000,0.221452,0.674911,0.135739,0.733189,1.981592,0.000000,0.028762
0.020000,0.236505,0.675368,0.150799,0.772821,1.981592,-0.000000,0.031977
0.020000,0.252349,0.675902,0.166652,0.812453,1.981592,0.000000,0.035348
0.020000,0.268983,0.676519,0.183297,0.852085,1.981592,0.000000,0.038872
0.020000,0.286406,0.677229,0.200735,0.891717,1.981592,-0.000000,0.042547
0.020000,0.304619,0.678039,0.218966,0.931348,1.981592,0.000000,0.046371
0.020000,0.323620,0.678959,0.237989,0.970980,1.981592,0.000000,0.050340
0.020000,0.343409,0.679997,0.257805,1.010612,1.981592,0.000000,0.054452
0.020000,0.363984,0.681162,0.278414,1.050244,1.981592,0.000000,0.058703
0.020000,0.385346,0.682464,0.299815,1.089876,1.981592,-0.000000,0.063091
0.020000,0.407492,0.683914,0.322009,1.129508,1.981592,0.000000,0.067610
0.020000,0.430423,0.685520,0.344995,1.169140,1.981592,0.000000,0.072258
0.020000,0.454135,0.687294,0.368774,1.208771,1.981592,-0.000000,0.077031
0.020000,0.478629,0.689244,0.393346,1.248403,1.981592,0.000000,0.081923
0.020000,0.503904,0.691383,0.418710,1.288035,1.981592,0.000000,0.086931
0.020000,0.529956,0.693721,0.444868,1.327667,1.981592,-0.000000,0.092050
0.020000,0.556785,0.696269,0.471817,1.367299,1.981592,0.000000,0.097274
0.020000,0.584389,0.699037,0.499559,1.406931,1.981592,0.000000,0.102598
0.020000,0.612765,0.702036,0.528094,1.446562,1.981592,-0.000000,0.108017
0.020000,0.641913,0.705278,0.557422,1.486194,1.981592,0.000000,0.113525
0.020000,0.671830,0.708774,0.587542,1.525826,1.981592,-0.000000,0.119116
0.020000,0.702513,0.712535,0.618455,1.565458,1.981592,0.000000,0.124784
0.020000,0.733960,0.716571,0.650160,1.605090,1.981592,0.000000,0.130522
0.020000,0.766170,0.720895,0.682659,1.644722,1.981592,0.000000,0.136323
0.020000,0.799138,0.725516,0.715949,1.684354,1.981592,-0.000000,0.142180
0.020000,0.832863,0.730445,0.750033,1.723985,1.981592,0.000000,0.148086
0.020000,0.867342,0.735694,0.784909,1.763617,1.981592,-0.000000,0.154034
0.020000,0.902572,0.741272,0.820577,1.803249,1.981592,0.000000,0.160016
0.020000,0.938549,0.747190,0.857039,1.842881,1.981592,0.000000,0.166023
0.020000,0.975272,0.753458,0.894293,1.882513,1.981592,0.000000,0.172048
0.020000,1.012737,0.760085,0.932339,1.922145,1.981592,0.000000,0.178081
0.020000,1.050941,0.767080,0.971178,1.961777,1.981592,-0.000000,0.184116
0.020000,1.089881,0.774454,1.010810,2.001408,1.981592,0.000000,0.190142
0.020000,1.129553,0.782214,1.051235,2.041040,1.981592,0.000000,0.196151
0.020000,1.169956,0.790368,1.092452,2.080672,1.981592,-0.000000,0.202133
0.020000,1.211085,0.798925,1.134462,2.120304,1.981592,0.000000,0.208079
0.020000,1.252938,0.807891,1.177264,2.159936,1.981592,0.000000,0.213981
0.020000,1.295511,0.817273,1.220859,2.199568,1.981592,-0.000000,0.219827
0.020000,1.338802,0.827078,1.265247,2.239199,1.981592,0.000000,0.225609
0.020000,1.382808,0.837312,1.310427,2.278831,1.981592,0.000000,0.231316
0.020000,1.427527,0.847978,1.356400,2.318463,1.981592,-0.000000,0.236938
0.020000,1.472955,0.859081,1.403166,2.358095,1.981592,0.000000,0.242466
0.020000,1.519091,0.870626,1.450724,2.397727,1.981592,0.000000,0.247889
0.020000,1.565932,0.882614,1.499075,2.437359,1.981592,-0.000000,0.253197
0.020000,1.613476,0.895049,1.548218,2.476991,1.981592,0.000000,0.258378
0.020000,1.661722,0.907931,1.598154,2.516622,1.981592,0.000000,0.263424
0.020000,1.710668,0.921261,1.648883,2.556254,1.981592,-0.000000,0.268323
0.020000,1.760313,0.935038,1.700404,2.595886,1.981592,0.000000,0.273065
0.020000,1.810656,0.949263,1.752719,2.635518,1.981592,0.000000,0.277639
0.020000,1.861696,0.963932,1.805825,2.675150,1.981592,-0.000000,0.282033
0.020000,1.913434,0.979042,1.859724,2.714782,1.981592,0.000000,0.286238
0.020000,1.965869,0.994591,1.914416,2.754413,1.981592,0.000000,0.290242
0.020000,2.019003,1.010571,1.969901,2.794045,1.981592,0.000000,0.294035
0.020000,2.072835,1.026979,2.026178,2.833677,1.981592,0.000000,0.297604
0.020000,2.127368,1.043806,2.083248,2.873309,1.981592,0.000000,0.300939
0.020000,2.182603,1.061044,2.141111,2.912941,1.981592,-0.000000,0.304029
0.020000,2.238543,1.078684,2.199766,2.952573,1.981592,0.000000,0.306861
0.020000,2.295190,1.096715,2.259214,2.992205,1.981592,0.000000,0.309425
0.020000,2.352548,1.115126,2.319454,3.031836,1.981592,-0.000000,0.311708
0.020000,2.410621,1.133903,2.380487,3.071468,1.981592,0.000000,0.313699
0.020000,2.469412,1.153033,2.442313,3.111100,1.981592,0.000000,0.315385
0.020000,2.528928,1.172498,2.504931,3.150732,1.981592,-0.000000,0.316755
0.020000,2.589174,1.192283,2.568342,3.190364,1.981592,0.000000,0.317795
0.020000,2.650155,1.212368,2.632546,3.229996,1.981592,0.000000,0.318493
0.020000,2.711878,1.232733,2.697542,3.269628,1.981592,-0.000000,0.318836
0.020000,2.774351,1.253356,2.763331,3.309259,1.981592,0.000000,0.318810
0.020000,2.837581,1.274214,2.829912,3.348891,1.981592,0.000000,0.318403
0.020000,2.901577,1.295282,2.897286,3.388523,1.981592,-0.000000,0.317600
0.020000,2.966346,1.316533,2.965453,3.428155,1.981592,0.000000,0.316386
0.020000,3.031900,1.337937,3.034412,3.467787,1.981592,0.000000,0.314749
0.020000,3.098247,1.359464,3.104165,3.507419,1.981592,-0.000000,0.312672
0.020000,3.165398,1.381081,3.174709,3.547050,1.981592,0.000000,0.310140
0.020000,3.233364,1.402753,3.246047,3.586682,1.981592,0.000000,0.307139
0.020000,3.300266,1.423778,3.318177,3.626314,1.981592,-0.000000,0.301200
0.020000,3.369974,1.445189,3.391099,3.665946,1.981592,0.000000,0.294996
0.020000,3.440562,1.466434,3.464814,3.705578,1.981592,0.000000,0.289884
0.020000,3.512005,1.487582,3.539322,3.745210,1.981592,-0.000000,0.285896
0.020000,3.584281,1.508708,3.614623,3.784842,1.981592,0.000000,0.283069
0.020000,3.657134,1.529827,3.690475,3.800359,0.775896,-60.284832,0.281442
0.020000,3.729925,1.550849,3.766241,3.776246,-1.205697,-99.079622,0.281039
0.020000,3.802100,1.571708,3.841369,3.736614,-1.981592,-38.794790,0.281845
0.020000,3.873485,1.592446,3.915705,3.696982,-1.981592,-0.000000,0.283825
0.020000,3.944055,1.613144,3.989249,3.657350,-1.981592,0.000000,0.286942
0.020000,4.013790,1.633874,4.061999,3.617718,-1.981592,0.000000,0.291161
0.020000,4.082666,1.654707,4.133957,3.578086,-1.981592,-0.000000,0.296447
0.020000,4.150663,1.675705,4.205123,3.538454,-1.981592,0.000000,0.302768
0.020000,4.217760,1.696927,4.275496,3.498823,-1.981592,0.000000,0.310087
0.020000,4.283934,1.718427,4.345076,3.459191,-1.981592,-0.000000,0.318372
0.020000,4.349167,1.740254,4.413863,3.419559,-1.981592,0.000000,0.327588
0.020000,4.413436,1.762452,4.481858,3.379927,-1.981592,-0.000000,0.337698
0.020000,4.476721,1.785059,4.549060,3.340295,-1.981592,-0.000000,0.348667
0.020000,4.539001,1.808110,4.615470,3.300663,-1.981592,0.000000,0.360457
0.020000,4.600256,1.831634,4.681087,3.261031,-1.981592,0.000000,0.373027
0.020000,4.660465,1.855655,4.745911,3.221400,-1.981592,-0.000000,0.386335
0.020000,4.719608,1.880192,4.809943,3.181768,-1.981592,0.000000,0.400340
0.020000,4.777666,1.905261,4.873182,3.142136,-1.981592,0.000000,0.414994
0.020000,4.834619,1.930869,4.935628,3.102504,-1.981592,-0.000000,0.430252
0.020000,4.890450,1.957024,4.997282,3.062872,-1.981592,0.000000,0.446062
0.020000,4.945141,1.983724,5.058143,3.023240,-1.981592,0.000000,0.462373
0.020000,4.998676,2.010965,5.118212,2.983609,-1.981592,-0.000000,0.479134
0.020000,5.051042,2.038739,5.177487,2.943977,-1.981592,0.000000,0.496289
0.020000,5.102224,2.067033,5.235971,2.904345,-1.981592,0.000000,0.513783
0.020000,5.150657,2.094646,5.293661,2.864713,-1.981592,0.000000,0.507825
0.020000,5.200981,2.121186,5.350559,2.825081,-1.981592,0.000000,0.463838
0.020000,5.251628,2.145318,5.406665,2.785449,-1.981592,0.000000,0.426451
