dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.088857,0.372997,0.000198,0.019816,0.990796,49.539811,6.282494
0.020000,0.088909,0.372997,0.000251,0.002622,-0.859674,-92.523531,6.282669
0.020000,0.089014,0.372997,0.000355,0.005243,0.131042,49.535814,6.283018
0.020000,0.090793,0.372997,0.002134,0.088922,4.183929,202.644355,0.000357
0.020000,0.094173,0.373000,0.005514,0.169003,4.004045,-8.994191,0.001056
0.020000,0.098397,0.373006,0.009739,0.211244,2.112045,-94.600028,0.001928
0.020000,0.103467,0.373019,0.014808,0.253476,2.111598,-0.022326,0.002974
0.020000,0.109381,0.373040,0.020722,0.295707,2.111575,-0.001151,0.004193
0.020000,0.116139,0.373073,0.027481,0.337923,2.110774,-0.040042,0.005584
0.020000,0.123742,0.373121,0.035083,0.380128,2.110254,-0.026002,0.007147
0.020000,0.132188,0.373189,0.043530,0.422322,2.109709,-0.027258,0.008880
0.020000,0.141478,0.373280,0.052820,0.464503,2.109073,-0.031816,0.010784
0.020000,0.151610,0.373400,0.062953,0.506668,2.108231,-0.042079,0.012856
0.020000,0.162585,0.373553,0.073930,0.548814,2.107291,-0.047017,0.015096
0.020000,0.174403,0.373746,0.085748,0.590941,2.106343,-0.047366,0.017502
0.020000,0.187062,0.373984,0.098409,0.633051,2.105532,-0.040580,0.020074
0.020000,0.200561,0.374273,0.111912,0.675133,2.104109,-0.071164,0.022809
0.020000,0.214901,0.374621,0.126256,0.717192,2.102920,-0.059418,0.025706
0.020000,0.230079,0.375035,0.141440,0.759222,2.101497,-0.071151,0.028762
0.020000,0.246097,0.375521,0.157465,0.801227,2.100248,-0.062452,0.031977
0.020000,0.262951,0.376089,0.174329,0.843194,2.098374,-0.093717,0.035348
0.020000,0.280641,0.376746,0.192031,0.885131,2.096840,-0.076675,0.038872
0.020000,0.299167,0.377500,0.210572,0.927030,2.094957,-0.094189,0.042547
0.020000,0.318525,0.378362,0.229950,0.968886,2.092773,-0.109168,0.046371
0.020000,0.338716,0.379339,0.250164,1.010706,2.091018,-0.087780,0.050340
0.020000,0.359736,0.380441,0.271213,1.052475,2.088465,-0.127631,0.054452
0.020000,0.381585,0.381679,0.293097,1.094197,2.086074,-0.119551,0.058703
0.020000,0.404261,0.383061,0.315815,1.135871,2.083696,-0.118916,0.063091
0.020000,0.427760,0.384599,0.339364,1.177485,2.080696,-0.149988,0.067610
0.020000,0.452081,0.386303,0.363745,1.219043,2.077924,-0.138590,0.072258
0.020000,0.477222,0.388183,0.388956,1.260540,2.074856,-0.153385,0.077031
0.020000,0.503179,0.390251,0.414995,1.301970,2.071479,-0.168859,0.081923
0.020000,0.529950,0.392516,0.441862,1.343337,2.068338,-0.157067,0.086931
0.020000,0.557532,0.394991,0.469555,1.384627,2.064505,-0.191643,0.092050
0.020000,0.585921,0.397687,0.498072,1.425841,2.060725,-0.188974,0.097274
0.020000,0.615114,0.400614,0.527411,1.466980,2.056948,-0.188861,0.102598
0.020000,0.645108,0.403785,0.557572,1.508031,2.052550,-0.219930,0.108017
0.020000,0.675898,0.407209,0.588552,1.548998,2.048349,-0.210044,0.113525
0.020000,0.707480,0.410900,0.620349,1.589875,2.043823,-0.226306,0.119116
0.020000,0.739851,0.414867,0.652962,1.630655,2.039006,-0.240809,0.124784
0.020000,0.773006,0.419123,0.686389,1.671339,2.034201,-0.240251,0.130522
0.020000,0.806940,0.423678,0.720628,1.711919,2.029031,-0.258499,0.136323
0.020000,0.841649,0.428543,0.755675,1.752395,2.023768,-0.263166,0.142180
0.020000,0.877127,0.433729,0.791531,1.792761,2.018318,-0.272525,0.148086
0.020000,0.913370,0.439246,0.828191,1.833015,2.012680,-0.281859,0.154034
0.020000,0.950372,0.445105,0.865654,1.873152,2.006880,-0.290048,0.160016
0.020000,0.988128,0.451315,0.903917,1.913170,2.000867,-0.300637,0.166023
0.020000,1.026632,0.457887,0.942979,1.953065,1.994770,-0.304827,0.172048
0.020000,1.065880,0.464829,0.982835,1.992833,1.988393,-0.318839,0.178081
0.020000,1.105864,0.472151,1.023485,2.032472,1.981979,-0.320737,0.184116
0.020000,1.146580,0.479861,1.064924,2.071980,1.975379,-0.330002,0.190142
0.020000,1.188022,0.487966,1.107151,2.111352,1.968612,-0.338332,0.196151
0.020000,1.230184,0.496476,1.150163,2.150587,1.961764,-0.342428,0.202133
0.020000,1.273059,0.505396,1.193957,2.189682,1.954747,-0.350802,0.208079
0.020000,1.316643,0.514733,1.238529,2.228635,1.947639,-0.355425,0.213981
0.020000,1.360929,0.524493,1.283878,2.267443,1.940412,-0.361331,0.219827
0.020000,1.405912,0.534681,1.330000,2.306105,1.933094,-0.365922,0.225609
0.020000,1.451586,0.545302,1.376893,2.344619,1.925664,-0.371484,0.231316
0.020000,1.497945,0.556359,1.424552,2.382982,1.918158,-0.375327,0.236938
0.020000,1.544984,0.567857,1.472976,2.421193,1.910564,-0.379678,0.242466
0.020000,1.592698,0.579796,1.522161,2.459251,1.902898,-0.383296,0.247889
0.020000,1.641081,0.592179,1.572104,2.497154,1.895154,-0.387230,0.253197
0.020000,1.690130,0.605007,1.622802,2.534901,1.887357,-0.389849,0.258378
0.020000,1.739838,0.618279,1.674252,2.572491,1.879475,-0.394105,0.263424
0.020000,1.790202,0.631996,1.726451,2.609922,1.871561,-0.395698,0.268323
0.020000,1.841218,0.646154,1.779395,2.647193,1.863556,-0.400244,0.273065
0.020000,1.892881,0.660751,1.833081,2.684304,1.855526,-0.401475,0.277639
0.020000,1.945189,0.675784,1.887506,2.721252,1.847412,-0.405723,0.282033
0.020000,1.998138,0.691249,1.942666,2.758037,1.839248,-0.408165,0.286238
0.020000,2.051725,0.707138,1.998560,2.794657,1.831025,-0.411152,0.290242
0.020000,2.105947,0.723447,2.055182,2.831112,1.822739,-0.414337,0.294035
0.020000,2.160804,0.740166,2.112530,2.867400,1.814381,-0.417875,0.297604
0.020000,2.216293,0.757288,2.170600,2.903518,1.805915,-0.423315,0.300939
0.020000,2.272413,0.774802,2.229389,2.939466,1.797424,-0.424518,0.304029
0.020000,2.329163,0.792698,2.288894,2.975242,1.788791,-0.431649,0.306861
0.020000,2.386543,0.810962,2.349111,3.010844,1.780076,-0.435756,0.309425
0.020000,2.444553,0.829583,2.410037,3.046269,1.771263,-0.440686,0.311708
0.020000,2.503194,0.848544,2.471667,3.081515,1.762280,-0.449133,0.313699
0.020000,2.562467,0.867830,2.533998,3.116579,1.753217,-0.453133,0.315385
0.020000,2.622374,0.887423,2.597028,3.151459,1.743978,-0.461960,0.316755
0.020000,2.682916,0.907305,2.660751,3.186150,1.734572,-0.470308,0.317795
0.020000,2.744096,0.927455,2.725164,3.220650,1.725013,-0.477922,0.318493
0.020000,2.805917,0.947853,2.790263,3.254955,1.715248,-0.488271,0.318836
0.020000,2.868382,0.968474,2.856044,3.289061,1.705293,-0.497765,0.318810
